pitcher,count
"Cole, Gerrit(R)",1408
"Bradish, Kyle(R)",1370
"Gallen, Zac(R)",1315
"Kremer, Dean(R)",1299
"Snell, Blake(L)",1289
"Strider, Spencer(R)",1236
"Kopech, Michael(R)",1232
"Javier, Cristian(R)",1175
"Giolito, Lucas(R)",1126
"Cease, Dylan(R)",1097
"Steele, Justin(L)",1090
"Pivetta, Nick(R)",1068
"Gausman, Kevin(R)",1065
"Gilbert, Logan(R)",1062
"Ryan, Joe(R)",1021
"Kikuchi, Yusei(L)",976
"Heaney, Andrew(L)",973
"Verlander, Justin(R)",944
"Peralta, Freddy(R)",938
"Manaea, Sean(L)",933
"Wheeler, Zack(R)",932
"Rodón, Carlos(L)",899
"Greene, Hunter(R)",888
"Lynn, Lance(R)",877
"Gore, MacKenzie(L)",875
"Detmers, Reid(L)",846
"Scherzer, Max(R)",830
"López, Pablo(R)",829
"Gray, Jon(R)",827
"Castillo, Luis(R)",825
"Nola, Aaron(R)",812
"Urías, Julio(L)",808
"Morton, Charlie(R)",804
"Bieber, Shane(R)",799
"Gomber, Austin(L)",789
"Ragans, Cole(L)",784
"Taillon, Jameson(R)",779
"Kelly, Merrill(R)",773
"Luzardo, Jesús(L)",771
"Anderson, Tyler(L)",768
"Lyles, Jordan(R)",762
"Sears, JP(L)",753
"Wilson, Steven(R)",732
"Coleman, Dylan(R)",722
"Keller, Mitch(R)",701
"Oviedo, Johan(R)",698
"Kershaw, Clayton(L)",696
"Greinke, Zack(R)",689
"Pallante, Andre(R)",687
"Gray, Josiah(R)",675
